name,type,unit,orig_group,cat,cat_name,subcategory,subcategory_secondary,lifecycle,activation,validation,validation_note,severity,recommendation,behavior_risk,consumer,ctor_transfer_target,guard_chain,code_transforms,src_default,set_value,runtime,effective_value,effective_formula,derived_variable,dynamic_range,observed_baseline_range,effect,dependencies,evidence
InpFileFixedLots,double,none,SIGNAL SOURCE,2,Data & Signal Ingestion,External risk/lot instructions,,Live-only,Gated-off,Engineering-default,sane fallback,P3,Keep,None,CTradeOrchestrator.mqh:551; UltimateTrader.mq5:3266/3273,,"used only if source==FILE && InpFileLotMode==FILE_LOT_FIXED (mqh:547, mq5:3266); default RISK_PERCENT -> never reached",,0.05,0.05,0.050000,0.05 lots (INERT under default lot mode; sane fallback),static (init-effective = runtime scalar),—,—,—,Fixed lot size for file signals in FIXED lot mode; dead under the default RISK_PERCENT mode.,gated by InpFileLotMode==FIXED,VERIFIED-FINDING: gated-off behind non-default lot mode
InpFileLotMode,ENUM_FILE_LOT_MODE,enum,SIGNAL SOURCE,2,Data & Signal Ingestion,External risk/lot instructions,,Live-only,Active,Engineering-default,,P3,Keep,None,UltimateTrader.mq5:3266/3277 (branch select); CTradeOrchestrator.mqh:547 (fixed-lot fallback),,"FIXED->InpFileFixedLots (mq5:3266, mqh:547); CSV_RISK->CSVRiskMin/Max (mq5:3277-3280); else->InpFileSignalRiskPct (mq5:3288)",,FILE_LOT_RISK_PERCENT,0,FILE_LOT_RISK_PERCENT,FILE_LOT_RISK_PERCENT (=0) -> routes to InpFileSignalRiskPct; this default is why the FIXED/CSV_RISK inputs are dead,static (init-effective = runtime scalar),—,—,—,Selects the file-signal lot-sizing branch; the RISK_PERCENT default renders InpFileFixedLots/InpFileCSVRiskMin/Max inert.,"gates InpFileFixedLots, InpFileCSVRiskMin, InpFileCSVRiskMax",VERIFIED-FINDING: default lot mode kills CSV-risk/Fixed inputs
InpFileMaxRiskPerTrade,double,ratio/%,SIGNAL SOURCE,2,Data & Signal Ingestion,External risk/lot instructions,,Live-only,Live-only,Safety-derived,,P3,Keep,None,CTradeOrchestrator::ExecuteSignal (CTradeOrchestrator.mqh:513),,cap = (source==FILE)?InpFileMaxRiskPerTrade:InpMaxRiskPerTrade; if riskPercent>cap clamp (mqh:513-520),,2.0,2.0,2.000000,2.0% file-source hard cap (equal to InpMaxRiskPerTrade=2.0 here; the 'looser by design' framing is moot at parity),static (init-effective = runtime scalar),—,—,—,Per-trade risk ceiling applied specifically to file-sourced signals.,parallel to InpMaxRiskPerTrade; live-only path,InpMaxRiskPerTrade also 2.0 (UltimateTrader_Inputs.mqh:65)
InpFileSignalRiskPct,double,ratio/%,SIGNAL SOURCE,2,Data & Signal Ingestion,External risk/lot instructions,,Live-only,Active,Engineering-default,,P3,Keep,None,CFileEntry::CheckForEntrySignal fallback (CFileEntry.mqh:841-842); OnTick RISK_PERCENT branch (UltimateTrader.mq5:3288-3289),,if riskPercent<=0 -> InpFileSignalRiskPct (CFileEntry.mqh:842); default lot-mode else-branch sets fileSignal.riskPercent=InpFileSignalRiskPct (mq5:3289),,0.8,0.8,0.800000,0.8% -> the ACTIVE default risk for file signals under FILE_LOT_RISK_PERCENT (still live-only),static (init-effective = runtime scalar),—,—,—,Default per-trade risk% for CSV signals when the CSV omits risk; the operative sizing input in the default lot mode.,active branch selected by InpFileLotMode=RISK_PERCENT,none
InpFileCheckInterval,int,seconds,SIGNAL SOURCE,2,Data & Signal Ingestion,File paths & parsing,,Live-only,Live-only,Engineering-default,,P3,Keep,None,UltimateTrader.mq5:1402 -> CFileEntry m_fileCheckInterval -> CheckForEntrySignal reload (CFileEntry.mqh:811),CFileEntry,if(currentTime-m_lastFileCheck>=m_fileCheckInterval) LoadTradesFromFile (CFileEntry.mqh:811-814),,60,60,60,60s file-reload throttle,static (init-effective = runtime scalar),—,—,—,How often the CSV feed is re-read; live-only.,CFileEntry only,none
InpFileSignalMode,ENUM_FILE_SIGNAL_MODE,enum,SIGNAL SOURCE,2,Data & Signal Ingestion,File paths & parsing,,Live-only,Live-only,Engineering-default,,P3,Keep,None,"CFileEntry::ValidateTrade (CFileEntry.mqh:364,374,392,428); OnTick best_effort flag (UltimateTrader.mq5:3311)",,STRICT/OPPORTUNISTIC/BEST_EFFORT branches govern SL/TP auto-fill (CFileEntry.mqh:364-442); best_effort_mode=(mode==BEST_EFFORT) (mq5:3311),,FILE_MODE_OPPORTUNISTIC,1,FILE_MODE_OPPORTUNISTIC,"FILE_MODE_OPPORTUNISTIC (=1): CSV levels used when valid, ATR auto-fill gaps",static (init-effective = runtime scalar),—,—,—,Parse tolerance for CSV SL/TP — opportunistic uses CSV where valid and back-fills missing levels from ATR.,drives CalcATRLevels usage; feeds best_effort_mode management,none
InpSignalFile,string,string,SIGNAL SOURCE,2,Data & Signal Ingestion,File paths & parsing,,Live-only,Live-only,Engineering-default,,P3,Keep,None,UltimateTrader.mq5:1402 -> CFileEntry m_fileName -> OpenTradeFile (CFileEntry.mqh:537-549),CFileEntry,passed to CFileEntry ctor (mq5:1402); FileOpen tries FILE_COMMON then local then MQL5\Files (CFileEntry.mqh:537-549). No file in backtest -> No-op,,"""telegram_signals.csv""",telegram_signals.csv,telegram_signals.csv,telegram_signals.csv (never present in tester -> inert),static (init-effective = runtime scalar),—,—,—,Path of the external CSV signal feed; only meaningful in live trading.,consumed only if InpSignalSource includes FILE,none
InpBestEffortFullManagement,bool,bool,SIGNAL SOURCE,2,Data & Signal Ingestion,File-signal exit/trail management,,Live-only,Live-only,Engineering-default,,P3,Keep,None,CPositionCoordinator (CPositionCoordinator.mqh:2393),,if(best_effort_mode && InpBestEffortFullManagement) apply full lifecycle mgmt (coord:2393),,true,true,true,true -> best-effort file positions get full TP/trail/exit management,static (init-effective = runtime scalar),—,—,—,Grants EA-calculated (BEST_EFFORT) file positions the full management lifecycle.,requires InpFileSignalMode==BEST_EFFORT to matter,none
InpFileSignalExitPlugins,bool,bool,SIGNAL SOURCE,2,Data & Signal Ingestion,File-signal exit/trail management,,Live-only,Live-only,Engineering-default,,P3,Keep,None,"CPositionCoordinator (CPositionCoordinator.mqh:2357,2376)",,if(InpFileSignalExitPlugins) run exit plugins on file pos (coord:2357); Regime exit sub-gated by InpFileSignalRegimeExit (coord:2376),,true,true,true,true -> DailyLoss/Weekend/MaxAge exits apply to file positions,static (init-effective = runtime scalar),—,—,—,Applies the standard exit-plugin suite (minus Regime) to CSV-sourced positions.,sub-gates InpFileSignalRegimeExit,none
InpFileSignalRegimeExit,bool,bool,SIGNAL SOURCE,2,Data & Signal Ingestion,File-signal exit/trail management,,Live-only,Live-only,Engineering-default,,P3,Keep,None,CPositionCoordinator (CPositionCoordinator.mqh:2376),,if(InpFileSignalRegimeExit && plugin is 'Regime') allow; false -> Regime exit skipped for file pos (coord:2376),,false,false,false,false -> file positions are NOT closed by the Regime exit (consistent with regime bypass on entry),static (init-effective = runtime scalar),—,—,—,Excludes the Regime exit from file positions so they are not closed on a regime flip.,sub-gate under InpFileSignalExitPlugins,none
InpFileSignalTrailing,bool,bool,SIGNAL SOURCE,2,Data & Signal Ingestion,File-signal exit/trail management,,Live-only,Live-only,Engineering-default,,P3,Keep,None,CPositionCoordinator (CPositionCoordinator.mqh:2310),,if(InpFileSignalTrailing && tp0_closed) enter file-trail block (coord:2310),,true,true,true,true -> master gate for file trailing after TP1/TP0,static (init-effective = runtime scalar),—,—,—,Master switch enabling the ATR trail on file positions after the first partial.,gates InpFileSignalTrailingMode + InpFileTrailATRMult,none
InpFileSignalTrailingMode,int,none,SIGNAL SOURCE,2,Data & Signal Ingestion,File-signal exit/trail management,,Live-only,Live-only,Unvalidated,,P2,Rename,Low,CPositionCoordinator (CPositionCoordinator.mqh:2315-2316),,trail_eligible = (mode==1) || (mode==2 && tp1_closed) (coord:2315-2316) — both paths run ONE swing-ATR trail,,1,1,1,1 -> trail after tp0_closed. Modes 1/2 differ ONLY in activation timing; the '1=Chandelier/2=ATR' comment is STALE (both are swing-ATR),static (init-effective = runtime scalar),—,—,—,Selects when the file-signal ATR trail activates; the mode labels in the comment are false (no Chandelier variant exists).,gated by InpFileSignalTrailing; feeds InpFileTrailATRMult,"VERIFIED-FINDING: modes differ only in timing, comment stale"
InpFileTrailATRMult,double,ATR-mult,SIGNAL SOURCE,2,Data & Signal Ingestion,File-signal exit/trail management,,Live-only,Live-only,Unvalidated,,P2,Rename,Low,CPositionCoordinator (CPositionCoordinator.mqh:2328),,"trail_dist = atr_val * InpFileTrailATRMult (coord:2328), applied identically for both trailing modes",,1.0,1.0,1.000000,"1.0 (ATRx1.0 both modes). Comment 'Chandelier 3.0' is FICTIONAL. NOTE: firstpass 'iATR handle created in loop, never released' is REFUTED (shared refcounted, not a leak)",static (init-effective = runtime scalar),—,—,—,ATR multiple for the file-signal trailing distance; the '3.0 Chandelier' comment does not match the code.,gated by InpFileSignalTrailing/Mode,"VERIFIED-FINDING: ATRx1.0 both modes, comment fictional; iATR NOT a leak (do-not-flag)"
InpFileTrailAfterTP2,bool,bool,SIGNAL SOURCE,2,Data & Signal Ingestion,File-signal exit/trail management,,Live-only,Live-only,Engineering-default,,P3,Keep,None,CPositionCoordinator (CPositionCoordinator.mqh:2252),,else if(InpFileTrailAfterTP2) ... runner ATR trail after TP2 (coord:2252),,true,true,true,true -> runner trails after TP2 on file positions,static (init-effective = runtime scalar),—,—,—,Activates the ATR trail on the file-signal runner once TP2 is taken.,interacts with InpFileUseTP3/InpFileSignalTrailing,none
InpFileUseTP3,bool,bool,SIGNAL SOURCE,2,Data & Signal Ingestion,File-signal exit/trail management,,Live-only,Live-only,Engineering-default,,P3,Keep,None,"CPositionCoordinator (CPositionCoordinator.mqh:384,2125)",,restore warn if source==FILE && InpFileUseTP3 && tp3<=0 (coord:384); has_tp3=(InpFileUseTP3 && tp3>0) (coord:2125),,true,true,true,true -> 3-way runner split on file positions,static (init-effective = runtime scalar),—,—,—,Enables the TP3 runner leg for CSV-sourced positions.,requires CSV TP3; live only,none
InpSignalTimeTolerance,double,seconds,SIGNAL SOURCE,2,Data & Signal Ingestion,Signal expiry/dedup,,Live-only,Live-only,Engineering-default,,P3,Keep,None,UltimateTrader.mq5:1402 (cast int) -> CFileEntry m_timeTolerance -> IsTradeReadyForExecution (CFileEntry.mqh:618),CFileEntry,reject if currentTime>trade.Time+m_timeTolerance (CFileEntry.mqh:618). double input cast to int at mq5:1402,,600,600.0,600.000000,600s (10-min freshness window); double->int cast is lossless here,static (init-effective = runtime scalar),—,—,—,Max age of a CSV signal before it is skipped; the file-signal expiry window.,CFileEntry only; live path,none
InpATRPeriod,int,bars,REGIME CLASSIFICATION,3,Market Features & State,ATR & volatility measurement,,Production,Active,Engineering-default,,P2,Keep,Low,CRegimeClassifier (CMarketContext.mqh:247); CEngulfingEntry (mq5:1273); CPinBarEntry (mq5:1275); CMACrossEntry (mq5:1277); ATR/Chandelier/Stepped/NewsTighten trailing (mq5:1585-1591),"CATRTrailing, CChandelierTrailing, CEngulfingEntry, CParabolicSARTrailing, CPinBarEntry",mq5:1183 -> CMarketContext ctor m_atr_period; also passed directly into entry + trailing plugin ctors for ATR handles,,14,14,14,14,static (init-effective = runtime scalar),—,—,—,"Shared ATR period for regime, entry SL sizing, and all ATR-based trailing.",InpATRMultiplierSL; trailing mults,"mq5:1183,1273,1275,1277,1585,1586,1589,1591."
InpDXYSymbol,string,string,MACRO BIAS (DXY/VIX),3,Market Features & State,Macro (DXY/VIX),,Production,Active,Unvalidated,"CORRECTION: task assumed unresolved->neutral, but journal proves USDX resolves WITH real H4 history -> DXY macro leg is LIVE",P1,Document,Medium,"CMacroBias::Init/AnalyzeDXY (CMacroBias.mqh:77-91,182-243); score feeds GetBiasScore -> CSignalValidator macro gates (CSignalValidator.mqh:362,491,591,596,635,636)",,mq5:1187 -> m_dxy_symbol; m_dxy_available=SymbolSelect(USDX)==true (journal); MACRO_MODE_REAL -> AnalyzeDXY (H4 close vs 50-SMA + higher-highs) -> dxy_score -2..+2 -> macro bias score,,"""USDX""",USDX,USDX,"USDX (RESOLVES, has ticks 2019-2026 + H4 bars)",static (init-effective = runtime scalar),—,—,—,The DXY leg is materially live in the baseline: USDX H4 trend vs its 50-SMA contributes -2..+2 to the macro bias that gates several long/short validation branches. NOT dormant.,CMacroBias; CSignalValidator macro_score gates,"Logs/20260413.log (decoded): 'MacroBias initialized (DXY: true, VIX: true)', 'USDX,H4: history cache ... 1547 bars 2025.01.02-2025.12.31', 'USDX: history ticks synchronized from 2019.01.02'. CONTRADICTS the slice/verified-finding assumption of neutral degradation. NOTE: because m_dxy_available=true, the price-based fallback (CMacroBias.mqh:125) is NEVER taken."
InpVIXElevated,double,count/level,MACRO BIAS (DXY/VIX),3,Market Features & State,Macro (DXY/VIX),,Production,Historically-inactive,Unvalidated,"only read inside AnalyzeVIX, which returns early on VIX data starvation",P2,Fix,Low,CMacroBias::AnalyzeVIX (CMacroBias.mqh:257 via m_vix_elevated_level),,reached only if CopyClose(VIX...)>0 (CMacroBias.mqh:253); VIX has ~no bars -> threshold never evaluated -> vix_elevated flag never set,,20.0,20.0,20.000000,20.0 (inert — no VIX data),static (init-effective = runtime scalar),—,—,—,VIX>this => risk-off => +1 gold-bull macro; inactive because VIX has no usable history on the tester feed.,InpVIXSymbol,CMacroBias.mqh:257; VIX 21-byte history (journal).
InpVIXLow,double,count/level,MACRO BIAS (DXY/VIX),3,Market Features & State,Macro (DXY/VIX),,Production,Historically-inactive,Unvalidated,"only read inside AnalyzeVIX, data-starved",P2,Fix,Low,CMacroBias::AnalyzeVIX (CMacroBias.mqh:264 via m_vix_low_level),,reached only if CopyClose(VIX...)>0; VIX data-starved -> vix<low branch never evaluated,,15.0,15.0,15.000000,15.0 (inert — no VIX data),static (init-effective = runtime scalar),—,—,—,VIX<this => extreme risk-on => -1 gold-bear macro; inactive due to missing VIX bars.,InpVIXSymbol,CMacroBias.mqh:264; VIX 21-byte history (journal).
InpVIXSymbol,string,string,MACRO BIAS (DXY/VIX),3,Market Features & State,Macro (DXY/VIX),,Production,Historically-inactive,Unvalidated,symbol RESOLVES but carries only ~21 bytes of history -> AnalyzeVIX gets no usable bars -> contributes 0,P2,Fix,Low,CMacroBias::AnalyzeVIX (CMacroBias.mqh:248-268),,"mq5:1187 -> m_vix_symbol; m_vix_available=SymbolSelect(VIX)==true (journal) BUT CopyClose(VIX,H4,0,1) on ~21 bytes of history returns <=0 -> AnalyzeVIX returns 0",,"""VIX""",VIX,VIX,VIX (symbol resolves; data-starved: 21 bytes history),static (init-effective = runtime scalar),—,—,—,"VIX symbol resolves so the price-fallback is bypassed, but with no usable VIX bars the VIX component and its thresholds contribute ~0 to the macro score.",InpVIXElevated; InpVIXLow,"Logs/20260413.log: 'VIX: symbol synchronized', 'VIX: load 21 bytes of history data'. AnalyzeVIX guards CopyClose<=0 -> return 0 (CMacroBias.mqh:253-254)."
InpEnableMomentum,bool,bool,MOMENTUM FILTER,3,Market Features & State,Momentum,,Experimental,Gated-off,Rejected,whole momentum subsystem dormant by default,P2,Keep,None,CMarketContext::Init (CMarketContext.mqh:303 gates new CMomentumFilter),,mq5:1192 -> m_enable_momentum; if(m_enable_momentum){ new CMomentumFilter; Init } else filter stays NULL,,false,false,false,false,static (init-effective = runtime scalar),—,—,—,Momentum filter is never constructed; the entire momentum subsystem is dormant on the config of record.,,CMarketContext.mqh:303; m_momentum_filter left NULL.
InpADXPeriod,int,bars,REGIME CLASSIFICATION,3,Market Features & State,Regime classification,,Production,Active,Engineering-default,,P3,Keep,Low,"CRegimeClassifier (CMarketContext.mqh:247 new CRegimeClassifier(m_adx_period,...))",,mq5:1183 -> CMarketContext ctor -> m_adx_period -> CRegimeClassifier ADX handle,,14,14,14,14,static (init-effective = runtime scalar),—,—,—,ADX period for regime classification and validator ADX gates.,,mq5:1183; CMarketContext.mqh:247.
InpADXRanging,double,count/level,REGIME CLASSIFICATION,3,Market Features & State,Regime classification,,Production,Active,Engineering-default,ADX< -> RANGING,P2,Keep,Low,"CRegimeClassifier / CMarketContext (m_adx_ranging_level, mq5:1186)",,mq5:1186 -> CMarketContext ctor m_adx_ranging_level -> regime classifier lower ADX threshold,,15.0,15.0,15.000000,15.0,static (init-effective = runtime scalar),—,—,—,ADX threshold below which regime is classified RANGING.,InpADXTrending,mq5:1186; CMarketContext.mqh:169.
InpADXTrending,double,count/level,REGIME CLASSIFICATION,3,Market Features & State,Regime classification,,Production,Active,Engineering-default,ADX>= -> TRENDING,P2,Keep,Low,"CRegimeClassifier / CMarketContext (m_adx_trending_level, mq5:1186)",,mq5:1186 -> CMarketContext ctor m_adx_trending_level -> regime classifier upper ADX threshold,,20.0,20.0,20.000000,20.0,static (init-effective = runtime scalar),—,—,—,ADX threshold at/above which regime is classified TRENDING.,InpADXRanging; InpADXPeriod,mq5:1186; CMarketContext.mqh:168.
InpEnableSMC,bool,bool,SMC ORDER BLOCKS,3,Market Features & State,SMC,market-structure,Production,Active,Engineering-default,LIVE — feeds Liquidity/RangeReversion/ReversalSweep/TrendCont engines,P2,Keep,Low,CMarketContext::Init (CMarketContext.mqh:274-286 gates new CSMCOrderBlocks),,mq5:1189 -> m_enable_smc; if(m_enable_smc){ new CSMCOrderBlocks; Configure(...); Init() } else disabled,,true,true,true,true,static (init-effective = runtime scalar),—,—,—,Constructs and configures the SMC order-block/FVG engine consumed by SMC entry plugins and the validator SMC gate.,all InpSMC* params,CMarketContext.mqh:274-286.
